date,inflation,unemployment
387,.30011094,0
388,.20011115,.20000029
389,-.39988899,-.099999905
390,-.09988904,0
391,.40011096,0
392,.20011103,-.10000038
393,-.19988906,0
394,.5001111,0
395,.30011082,.20000029
396,.20011115,.099999905
397,.30011082,-.19999981
398,.30011106,.099999905
399,-.099888802,0
400,-.79988909,.099999905
401,-.29988909,.099999905
402,.00011098385,.20000029
403,.20011103,-.10000038
404,.10011101,-.099999905
405,.20011115,0
406,-.39988899,-.099999905
407,-.099889159,-.19999981
408,.10011113,-.10000038
409,.00011086464,0
410,-.29988885,-.099999905
411,.00011098385,.20000029
412,.60011089,-.20000029
413,.60011101,0
414,.30011106,0
415,-.29988885,-.099999905
416,-.39988923,-.099999905
417,.00011110306,0
418,.70011091,.099999905
419,.40011096,-.099999905
420,-.29988909,0
421,-.4998889,-.099999905
422,.30011106,.099999905
423,.10011101,-.20000029
424,.20011115,0
425,-.49988914,-.099999905
426,-.39988899,-.099999905
427,.60011077,0
428,.5001111,-.099999905
429,1.1001108,.099999905
430,-.29988861,0
431,-1.099889,0
432,.00011086464,-.099999905
433,.70011091,-.20000029
434,-.39988899,.10000038
435,-.19988871,-.10000038
436,.20011091,0
437,.4001112,-.099999905
438,.20011044,0
439,-.099888802,.099999905
440,-.19988871,0
441,-1.8998892,-.19999981
442,-.59988892,-.099999905
443,.60011113,.099999905
444,.50011086,-.099999905
445,-.39988899,.19999981
446,.30011106,-.099999905
447,.40011096,-.099999905
448,-.19988918,.099999905
449,.10011125,-.099999905
450,.00011086464,.19999981
451,-.39988899,.099999905
452,-.39988899,-.099999905
453,.90011096,.099999905
454,.80011106,0
455,.80011129,0
456,-.29988956,.30000019
457,.20011139,0
458,-.19988918,-.099999905
459,-.099888802,.19999981
460,-.09988904,-.099999905
461,.20011067,.4000001
462,.80011129,.19999981
463,.60011101,.20000029
464,-.19988871,.29999971
465,-.29988909,0
466,-1.2998891,.4000001
467,-2.5998893,.30000019
468,-1.099889,.5
469,-.099889003,.5
470,.10011101,.5
471,-.39988902,.39999962
472,-.199889,.30000019
473,-.39988899,.39999962
474,-.19988906,.10000038
475,-.79988897,0
476,.50011098,.10000038
477,.10011113,.19999981
478,1.2001109,.19999981
479,2.100111,-.10000038
480,.90011108,0
481,-.19988918,-.099999428
482,-.39988875,0
483,.10011077,.099999428
484,-.099888802,0
485,-.19988918,-.29999924
486,-.89988887,-.20000076
487,.20011091,0
488,-.099888921,.10000038
489,-.09988904,0
490,.10011101,-.10000038
491,-.099888921,.40000057
492,.30011094,-.5
493,.30011106,-.19999981
494,.40011072,-.10000038
495,.5001111,0
496,.5001111,.10000038
497,.40011096,-.10000038
498,.00011110306,.10000038
499,.10011077,-.10000038
500,.10011125,0
501,.10011077,0
502,-.19988894,-.19999981
503,-.19988871,-.19999981
504,-.39988923,-.10000038
505,.00011110306,-.19999981
506,-.09988904,0
507,-.29988909,-.10000038
508,-.29988909,0
509,-.5998888,0
510,.00011098385,0
511,-.29988909,0
512,.30011106,-.099999428
513,.30011094,-.30000019
514,.20011115,0
515,-.39988911,-.10000038
516,.00011098385,.20000029
517,-.19988894,.099999905
518,.40011096,-.30000019
519,-.49988902,-.19999981
520,-.39988899,.099999905
521,.30011106,-.099999905
522,.30011106,0
523,.20011091,-.19999981
524,-.39988899,0
525,-.29988897,0
526,-.29988903,-.10000038
527,.300111,-.29999971
528,.30011106,-.20000029
529,.10011101,-.099999905
530,-.49988902,.099999905
531,.40011096,0
532,.50011098,-.5
533,.10011101,0
534,-.09988904,-.099999905
535,.00011110306,.099999905
536,-.29988897,0
537,-.09988904,-.19999981
538,.00011098385,-.30000019
539,-.29988909,.10000038
540,-.59988898,-.20000029
541,-.89988899,.099999905
542,.10011101,-.19999981
543,.100111,0
544,-.099888995,-.099999905
545,.100111,.099999905
546,.20011099,-.19999981
547,.00011101365,0
548,.00011098385,-.20000029
549,-.19988899,0
550,.10011101,-.099999905
,,
